idiom,match
for crying out loud,Y
turn a blind eye,Y
get to grips with,Y
grind to a halt,Y
let bygones be bygones,Y
every man for himself,Y
sign of the times,Y
at the end of the day,Y
come to terms with,Y
with a view to,Y
in the long run,Y
keep a low profile,Y
tell it like it is,Y
sing the praises of,Y
rub someone up the wrong way,Y
in the driving seat,Y
fall by the wayside,Y
to the tune of,Y
take someone's word for it,Y
on the spur of the moment,Y
the grass is always greener,Y
from rags to riches,Y
in no uncertain terms,Y
read between the lines,Y
lead someone up the garden path,Y
for the time being,Y
take a dim view of,Y
all in a day's work,Y
at a snail's pace,Y
go hand in hand,Y
play hard to get,Y
grin like a Cheshire cat,Y
at a loose end,Y
come to think of it,Y
to all intents and purposes,Y
back to square one,Y
kill the goose that lays the golden eggs,Y
fall on deaf ears,Y
by hook or by crook,Y
go from strength to strength,Y
in this day and age,Y
fight tooth and nail,Y
wipe the floor with,Y
come to grips with,Y
pull out all the stops,Y
keep a lid on,Y
few and far between,Y
great minds think alike,Y
all hell broke loose,Y
get the better of,Y
high as a kite,Y
make head or tail of,Y
as luck would have it,Y
err on the side of,Y
your guess is as good as mine,Y
bring the house down,Y
follow in someone's footsteps,Y
set the wheels in motion,Y
sign on the dotted line,Y
pour cold water on,N
break the back of,Y
for the hell of it,Y
hold the purse strings,Y
fall between two stools,Y
smoke like a chimney,Y
cuckoo in the nest,Y
beat swords into ploughshares,N
add insult to injury,Y
as the crow flies,Y
"been there, done that",Y
pay through the nose,Y
the die is cast,Y
from the cradle to the grave,Y
take the bull by the horns,Y
over my dead body,Y
at the drop of a hat,Y
grin and bear it,Y
let your hair down,Y
put a sock in it,Y
when push comes to shove,Y
call a spade a spade,Y
easier said than done,Y
stick out like a sore thumb,Y
between the devil and the deep blue sea,Y
in one ear and out the other,Y
keep your fingers crossed,Y
knock someone's socks off,Y
you can't have your cake and eat it,Y
the icing on the cake,Y
no two ways about it,Y
within an ace of,Y
through thick and thin,Y
take it or leave it,Y
till the cows come home,Y
get in on the ground floor,Y
kill two birds with one stone,Y
put your oar in,Y
under lock and key,Y
keep the wolf from the door,Y
hit the nail on the head,Y
blood is thicker than water,Y
in the lap of luxury,Y
in black and white,Y
come rain or shine,Y
by no stretch of the imagination,Y
stand up and be counted,Y
look on the bright side,Y
fall on stony ground,Y
when the chips are down,Y
come hell or high water,Y
bite off more than you can chew,Y
have no truck with,Y
throw down the gauntlet,Y
run something up the flagpole,Y
rake over old coals,Y
make a mountain out of a molehill,Y
the rest is history,Y
leave no stone unturned,Y
at sixes and sevens,Y
put a damper on,Y
throw cold water on,Y
there's no such thing as a free lunch,Y
out of thin air,Y
make a clean break,N
when all is said and done,Y
back to the drawing board,Y
play fast and loose,Y
draw the short straw,Y
make short work of,Y
pull a rabbit out of a hat,Y
wipe the slate clean,Y
all things being equal,Y
nudge nudge wink wink,Y
set your sights on,Y
dressed to the nines,Y
fall off the back of a lorry,N
flat as a pancake,Y
wouldn't hurt a fly,Y
see eye to eye,Y
in the wink of an eye,Y
curiosity killed the cat,Y
no smoke without fire,Y
chickens come home to roost,Y
put words in someone's mouth,Y
put your best foot forward,Y
wither on the vine,N
better late than never,Y
in the nick of time,Y
put your foot down,Y
keep your options open,Y
plain as a pikestaff,Y
move heaven and earth,Y
take a leaf out of someone's book,Y
pull a fast one,Y
look before you leap,Y
burn the midnight oil,Y
only time will tell,Y
rest on your laurels,Y
look the other way,Y
stand the test of time,Y
bark up the wrong tree,Y
jack of all trades,Y
friends in high places,Y
come up smelling of roses,Y
separate the wheat from the chaff,Y
put the cart before the horse,Y
take the wind out of someone's sails,Y
take the rough with the smooth,Y
you scratch my back and I'll scratch yours,Y
between a rock and a hard place,Y
every trick in the book,Y
fly in the face of,Y
dead as a doornail,Y
to the nth degree,Y
from pillar to post,Y
have your work cut out,Y
every nook and cranny,Y
everything but the kitchen sink,Y
too clever by half,Y
better the devil you know,Y
make light work of,Y
turn over a new leaf,Y
public enemy number one,Y
"out of sight, out of mind",Y
beggars can't be choosers,Y
keep a straight face,Y
like a bat out of hell,Y
neither fish nor fowl,Y
in the blink of an eye,Y
by a long shot,N
all bets are off,Y
no time like the present,Y
in the fast lane,N
start off on the wrong foot,Y
throw the book at,Y
don't hold your breath,Y
it takes two to tango,Y
add fuel to the fire,Y
sick as a parrot,N
by leaps and bounds,Y
once in a blue moon,Y
get your teeth into,Y
throw caution to the wind,Y
throw your weight around,Y
batten down the hatches,Y
flog a dead horse,Y
wake up and smell the coffee,Y
press the panic button,Y
come in from the cold,Y
dead to the world,Y
bite someone's head off,Y
think outside the box,Y
burn the candle at both ends,Y
cut the Gordian knot,Y
leave someone in the lurch,Y
throw good money after bad,Y
you can't teach an old dog new tricks,Y
pass the time of day,Y
away with the fairies,N
prick up your ears,Y
give someone a bloody nose,Y
cast pearls before swine,Y
rub someone the wrong way,Y
have a mountain to climb,Y
put the kibosh on,Y
what goes around comes around,Y
by the seat of your pants,Y
never the twain shall meet,Y
"once bitten, twice shy",Y
the buck stops here,Y
two heads are better than one,Y
get on like a house on fire,Y
put the cat among the pigeons,Y
keep your powder dry,Y
bring home the bacon,Y
send someone to Coventry,N
shoot from the hip,Y
keep your chin up,Y
put up or shut up,Y
hold all the aces,N
don't give up the day job,Y
on a silver platter,Y
give as good as you get,Y
nothing to write home about,Y
take a shine to,Y
get a handle on,Y
you could have knocked me down with a feather,Y
get down to brass tacks,Y
better safe than sorry,Y
put your cards on the table,Y
no rest for the wicked,Y
push the panic button,Y
go down like a lead balloon,Y
in the driver's seat,Y
asleep at the wheel,Y
the ball is in someone's court,Y
eat your heart out,Y
not to be sneezed at,Y
straight from the horse's mouth,Y
draw a bead on,Y
dog in the manger,N
sweep someone off their feet,Y
jump down someone's throat,Y
not just a pretty face,Y
do the right thing,Y
beat the daylights out of,Y
put the moves on,Y
let the genie out of the bottle,Y
let the cat out of the bag,Y
get your skates on,Y
close but no cigar,Y
snap someone's head off,Y
still waters run deep,Y
too many cooks spoil the broth,Y
take the gilt off the gingerbread,Y
shuffle off this mortal coil,Y
throw the baby out with the bathwater,N
"in for a penny, in for a pound",Y
not to put too fine a point on it,Y
give someone a piece of your mind,Y
from the horse's mouth,Y
come down the pike,N
keep your nose to the grindstone,Y
thumb your nose at,Y
fish in troubled waters,Y
a little bird told me,Y
"day in, day out",Y
dead as a dodo,N
go the extra mile,Y
start off on the right foot,Y
time and tide wait for no man,Y
warm the cockles of someone's heart,Y
get your feet wet,Y
kick against the pricks,N
by the skin of your teeth,Y
not bat an eye,Y
get a rise out of,Y
keep your head above water,Y
make a night of it,Y
draw a line in the sand,Y
blow the lid off,Y
it's all Greek to me,Y
dot the i's and cross the t's,N
haul someone over the coals,Y
separate the sheep from the goats,Y
put your heads together,Y
speak of the devil,Y
have a tiger by the tail,Y
spare the rod and spoil the child,Y
"waste not, want not",Y
it never rains but it pours,Y
rain cats and dogs,Y
bury your head in the sand,Y
make money hand over fist,Y
have a bun in the oven,Y
throw your hat in the ring,Y
put the screws on,N
kill the fatted calf,Y
there's no fool like an old fool,Y
all dressed up and nowhere to go,Y
keep your nose clean,Y
a dime a dozen,Y
get your act together,Y
give someone the benefit of the doubt,Y
go back to the drawing board,Y
it's not rocket science,Y
let someone off the hook,Y
make a long story short,Y
"no pain, no gain",Y
so far so good,Y
the best of both worlds,Y
to get bent out of shape,Y
to make matters worse,Y
we'll cross that bridge when we come to it,Y
a bird in the hand is worth two in the bush,Y
a penny saved is a penny earned,Y
a picture is worth 1000 words,Y
actions speak louder than words,Y
barking up the wrong tree,Y
birds of a feather flock together,Y
comparing apples to oranges,Y
costs an arm and a leg,Y
do something at the drop of a hat,Y
do unto others as you would have them do unto you,Y
don't count your chickens before they hatch,Y
don't cry over spilt milk,Y
don't give up your day job,Y
don't put all your eggs in one basket,Y
every cloud has a silver lining,Y
get a taste of your own medicine,Y
give someone the cold shoulder,Y
go on a wild goose chase,Y
good things come to those who wait,Y
he has bigger fish to fry,Y
he's a chip off the old block,Y
it ain't over till the fat lady sings,Y
it takes one to know one,Y
it's a piece of cake,Y
it's raining cats and dogs,Y
saving for a rainy day,Y
slow and steady wins the race,Y
take a rain check,Y
take it with a grain of salt,Y
the ball is in your court,Y
the best thing since sliced bread,Y
the devil is in the details,Y
the early bird gets the worm,Y
the elephant in the room,Y
the whole nine yards,Y
there are other fish in the sea,Y
there's a method to his madness,Y
you can't have your cake and eat it too,Y
you can't judge a book by its cover,Y
a little learning is a dangerous thing,Y
a snowball's chance in hell,Y
a storm in a teacup,Y
an apple a day keeps the doctor away,Y
an ounce of prevention is worth a pound of cure,Y
calm before the storm,Y
don't beat a dead horse,Y
every dog has his day,Y
have your head in the clouds,Y
he who laughs last laughs loudest,N
hear something straight from the horse's mouth,Y
he's off his rocker,N
it is always darkest before the dawn,Y
know which way the wind is blowing,Y
like two peas in a pod,Y
make hay while the sun shines,Y
shape up or ship out,Y
that ship has sailed,Y
the pot calling the kettle black,Y
there are clouds on the horizon,Y
those who live in glass houses shouldn't throw stones,Y
we see eye to eye,Y
when it rains it pours,Y
you can catch more flies with honey than you can with vinegar,Y
"you can lead a horse to water, but you can't make him drink",Y
you can't make an omelet without breaking some eggs,Y
keep up the good work,Y
not in a million years,Y
between life and death,Y
for love nor money,Y
just what the doctor ordered,Y
in the cold light of day,Y
in the wake of,Y
the letter of the law,Y
the men in grey suits,Y
the spirit of the law,Y
middle of the road,N
caught in the crossfire,N
a breath of fresh air,Y
a clean bill of health,Y
a new lease of life,Y
in the heat of the moment,N
a fate worse than death,Y
a fish out of water,Y
a flash in the pan,Y
a fly on the wall,Y
a foot in the door,Y
a safe pair of hands,Y
a sight for sore eyes,Y
a slap on the wrist,Y
absence makes the heart grow fonder,Y
as high as a kite,Y
stranger things have happened,Y
it's a small world,Y
give credit where credit is due,Y
the straw that broke the camel's back,Y
you reap what you sow,Y
turn a deaf ear,Y
finding a needle in a haystack,Y
see light at the end of the tunnel,Y
don't look a gift horse in the mouth,Y
make hair stand on end,Y
taste of your own medicine,Y
a fish rots from the head down,Y
know like the back of your hand,Y
have finger in too many pies,Y
no pain no gain,Y
there's no smoke without fire,Y
its raining cats and dogs,Y
have two pennies to rub together,Y
be glad to see the back of,Y
to rub salt in the wound,Y
crème de la crème,Y
in an extremely blissful state,Y
don't count your chickens before they've hatched,Y
feeling a bit under the weather,Y
talking to a brick wall,Y
packed (in) like sardines,Y
to be at the end of one's rope,N
hard work never hurt anyone,Y
the odd one out,Y
having to start all over again,Y
that's the heart of the matter,Y
"to have your cake and eat it, too",Y
hear it on the grapevine,N
to place the cherry on top,Y
make a bad situation even worse,Y
caught with one's hand in the cookie jar,Y
by hook or crook,Y
wouldn't be caught dead,Y
don't toot your own horn,Y
snake in the grass,Y
rome wasn't built in a day,Y
to paint the town red,Y
the shoemaker's son always goes barefoot,Y
savings set aside for future use,Y
misfortunes never come singly,Y
tough nut to crack,Y
cross that bridge when you come to it,Y
not playing with a full deck,Y
a person who really talks too much,Y
the apple doesn't fall far from the tree,Y
for a very long time,Y
it's greek to me,Y
to be green with envy,Y
the ends justifies the means,Y
walk on thin ice,Y
beat a dead horse,Y
three sheets to the wind,Y
to bite the dust,N
lose one's train of thought,Y
throw a spanner in the works,Y
can't judge a book by its cover,Y
on the pig's back,Y
have an ax to grind,Y
pull the wool over one's eyes,Y
